=== LEVEL 1 ===


--- Summary Table: Level 1, Trained on Level 1 | Success Threshold >= -5 ---
| Configuration     |   Mean |   SD |   Min |   Max |   Success Rate (%) |
| Active (60% FOV)  | -57.57 | 47.30 | -175.00 | 17.00 |              17.00 |
| Active (80% FOV)  | -26.14 | 48.03 | -170.00 | 19.00 |              38.00 |
| Active (100% FOV) | -64.23 | 65.57 | -218.00 | 19.00 |              26.00 |

--- Summary Table: Level 3, Trained on Level 1 | Success Threshold >= 5 ---
| Configuration     |   Mean |    SD |     Min |   Max |   Success Rate (%) |
|:------------------|-------:|------:|--------:|------:|-------------------:|
| Baseline          | -63.76 | 48.37 | -138.00 | 19.00 |              19.00 |
| Active (1% FOV)   | -21.25 | 46.62 | -165.00 | 19.00 |              42.00 |
| Active (5% FOV)   | -67.16 | 58.46 | -204.00 | 17.00 |              11.00 |
| Active (10% FOV)  | -52.26 | 46.23 | -204.00 | 17.00 |              14.00 |
| Active (20% FOV)  | -27.23 | 43.14 | -154.00 | 19.00 |              29.00 |
| Active (40% FOV)  | -59.50 | 47.72 | -193.00 | 19.00 |              14.00 |
| Active (60% FOV)  | -57.57 | 47.30 | -175.00 | 17.00 |              17.00 |
| Active (80% FOV)  | -26.14 | 48.03 | -170.00 | 19.00 |              38.00 |
| Active (100% FOV) | -64.23 | 65.57 | -218.00 | 19.00 |              26.00 |

--- Summary Table: Level 3, Trained on Level 1 | Success Threshold >= 10 ---
| Configuration     |   Mean |    SD |     Min |   Max |   Success Rate (%) |
|:------------------|-------:|------:|--------:|------:|-------------------:|
| Baseline          | -63.76 | 48.37 | -138.00 | 19.00 |              19.00 |
| Active (1% FOV)   | -21.25 | 46.62 | -165.00 | 19.00 |              40.00 |
| Active (5% FOV)   | -67.16 | 58.46 | -204.00 | 17.00 |              11.00 |
| Active (10% FOV)  | -52.26 | 46.23 | -204.00 | 17.00 |              10.00 |
| Active (20% FOV)  | -27.23 | 43.14 | -154.00 | 19.00 |              28.00 |
| Active (40% FOV)  | -59.50 | 47.72 | -193.00 | 19.00 |              13.00 |
| Active (60% FOV)  | -57.57 | 47.30 | -175.00 | 17.00 |              17.00 |
| Active (80% FOV)  | -26.14 | 48.03 | -170.00 | 19.00 |              38.00 |
